Data;Godz.;Dobowa prognoza zapotrzebowania KSE;Rzeczywiste zapotrzebowanie KSE
20240101;24;15116;14435,163
20240102;1;14309;13653,488
20240102;2;13818;13216,513
20240102;3;13579;12978,100
20240102;4;13693;13100,900
20240102;5;14310;13510,313
20240102;6;16278;14635,700
20240102;7;19343;17228,638
20240102;8;20600;19191,150
20240102;9;21710;20306,688
20240102;10;21990;21046,263
20240102;11;22331;21249,063
20240102;12;22296;21560,725
20240102;13;22551;21724,675
20240102;14;22821;22047,825
20240102;15;22440;21734,263
20240102;16;22953;21876,725
20240102;17;23407;22418,938
20240102;18;23208;22289,950
20240102;19;22820;21948,500
20240102;20;22645;21704,538
20240102;21;22228;21113,125
20240102;22;21113;19855,463
20240102;23;19494;18607,425
20240102;24;18173;17226,250
20240103;1;16729;16156,625
20240103;2;16069;15545,875
20240103;3;15761;15404,750
20240103;4;15806;15332,563
20240103;5;16348;15769,388
20240103;6;17744;16799,600
20240103;7;20891;19403,925
20240103;8;22040;21485,375
20240103;9;22860;22722,250
20240103;10;23093;22945,025
20240103;11;23234;22851,875
20240103;12;23460;22971,250
20240103;13;23486;23051,850
20240103;14;23836;23236,163
20240103;15;23421;22836,100
20240103;16;23851;22938,150
20240103;17;24279;23417,263
20240103;18;24181;23485,863
20240103;19;23784;23186,050
20240103;20;23633;22943,713
20240103;21;23084;22288,000
20240103;22;21941;20909,438
20240103;23;20304;19363,138
20240103;24;18970;17998,225
20240104;1;16729;16907,538
20240104;2;15988;16427,413
20240104;3;15696;16057,213
20240104;4;15754;15975,875
20240104;5;16310;16398,950
20240104;6;17715;17352,088
20240104;7;20669;19853,713
20240104;8;21861;21717,125
20240104;9;22819;22639,313
20240104;10;22818;23016,850
20240104;11;22912;22916,588
20240104;12;22872;23326,100
20240104;13;22992;23689,800
20240104;14;23307;23623,863
20240104;15;22972;23233,788
20240104;16;23285;23291,075
20240104;17;23563;23935,350
20240104;18;23554;23875,850
20240104;19;23158;23715,575
20240104;20;23071;23559,225
20240104;21;22533;22962,225
20240104;22;21350;21606,088
20240104;23;19774;20054,363
20240104;24;18446;18834,275
20240105;1;16910;17901,838
20240105;2;16196;17342,600
20240105;3;15940;17122,975
20240105;4;16028;17094,038
20240105;5;16609;17568,150
20240105;6;18240;18417,950
20240105;7;21214;20979,925
20240105;8;22281;22927,325
20240105;9;23195;23809,825
20240105;10;23116;24292,863
20240105;11;22855;24179,213
20240105;12;22837;24299,750
20240105;13;22961;24515,963
20240105;14;23297;24288,038
20240105;15;22901;23948,638
20240105;16;23269;23897,613
20240105;17;23959;24524,250
20240105;18;23946;24445,225
20240105;19;23537;24032,438
20240105;20;23427;23672,938
20240105;21;22867;23064,363
20240105;22;21664;21729,338
20240105;23;20063;20425,500
20240105;24;18716;19165,238
20240106;1;17699;17940,550
20240106;2;16946;17201,513
20240106;3;16347;16715,538
20240106;4;15996;16506,300
20240106;5;15945;16333,225
20240106;6;15746;16207,025
20240106;7;15951;16461,600
20240106;8;16305;16823,088
20240106;9;17236;17794,275
20240106;10;18142;18937,888
20240106;11;18759;19799,188
20240106;12;18989;20271,700
20240106;13;19137;20459,013
20240106;14;19247;20591,325
20240106;15;19022;20406,525
20240106;16;19342;20183,900
20240106;17;19927;20592,500
20240106;18;19919;20455,325
20240106;19;19913;20209,300
20240106;20;19910;19959,925
20240106;21;19460;19586,188
20240106;22;18815;18765,525
20240106;23;18125;18062,563
20240106;24;17235;17040,288
20240107;1;17190;16326,325
20240107;2;16685;15637,138
20240107;3;16424;15471,813
20240107;4;16393;15362,163
20240107;5;16405;15476,100
20240107;6;16567;15632,500
20240107;7;17012;16278,875
20240107;8;17503;16819,438
20240107;9;18319;17611,900
20240107;10;19563;18909,063
20240107;11;20534;19807,063
20240107;12;21083;20460,038
20240107;13;21385;20700,500
20240107;14;21554;20968,638
20240107;15;21259;20648,938
20240107;16;20997;20467,188
20240107;17;21641;21024,775
20240107;18;22064;21256,450
20240107;19;22067;21489,725
20240107;20;22066;21570,238
20240107;21;21625;21186,275
20240107;22;20717;20235,150
20240107;23;19969;19440,850
20240107;24;18979;18291,250
20240108;1;17718;17483,800
20240108;2;17365;17180,400
20240108;3;17113;16919,063
20240108;4;17314;17042,475
20240108;5;17966;17597,875
20240108;6;19973;18830,338
20240108;7;23632;22134,625
20240108;8;25039;24657,863
20240108;9;26047;25977,088
20240108;10;25937;26662,075
20240108;11;25842;26831,438
20240108;12;25759;27030,475
20240108;13;25925;26985,225
20240108;14;26171;26929,875
20240108;15;25771;26535,700
20240108;16;25837;26455,200
20240108;17;26647;27079,700
20240108;18;26654;27106,363
20240108;19;26221;26693,638
20240108;20;26191;26546,275
20240108;21;25760;26007,038
20240108;22;24426;24546,788
20240108;23;22788;23090,613
20240108;24;21496;21709,075
20240109;1;20159;20706,075
20240109;2;19659;20273,750
20240109;3;19356;20007,350
20240109;4;19400;19947,225
